# chisq H0 ombh2 omch2 tau As ns
2.576637728890397284e+03 6.841890354016342712e+01 2.235109469470953833e-02 1.174153077139652723e-01 8.487114504892730171e-02 2.215963172287621052e-09 9.732995860248333519e-01
2.576569959946495146e+03 6.841560818548998668e+01 2.235179515940049350e-02 1.174100690449832868e-01 8.465422356393076386e-02 2.216402026303669052e-09 9.732742744066228413e-01
2.576843038367022018e+03 6.842844273798779398e+01 2.235353013117759649e-02 1.173731761629552423e-01 8.429151340911060497e-02 2.215722645776896687e-09 9.732548430673879647e-01
2.576843038367022018e+03 6.842844273798779398e+01 2.235353013117759649e-02 1.173731761629552423e-01 8.429151340911060497e-02 2.215722645776896687e-09 9.732548430673879647e-01
2.577639652118748927e+03 6.843535866480316088e+01 2.235238821594707700e-02 1.173731575975011932e-01 8.403586060431067484e-02 2.216106796281071989e-09 9.731792841887182410e-01
2.576788472774965612e+03 6.841151183038287797e+01 2.235216960471014466e-02 1.173577777379565118e-01 8.445805357252923751e-02 2.216472545620447873e-09 9.730644082707660125e-01
2.577232631453438444e+03 6.843077883713300480e+01 2.235396859411272613e-02 1.174098163822086399e-01 8.463422876262700900e-02 2.218256998233526049e-09 9.730854756014860607e-01
2.576873271008621032e+03 6.843290777951892778e+01 2.235642462455425181e-02 1.174063221974057519e-01 8.435517389558765122e-02 2.216144065913387695e-09 9.731146488477245837e-01
2.576731395234045522e+03 6.841842674041448902e+01 2.235523827223090745e-02 1.174460814873896503e-01 8.485451713376321314e-02 2.216045322831669866e-09 9.731826554077658287e-01
2.576566310783780409e+03 6.841552429392423562e+01 2.235376992578885780e-02 1.174221058351081759e-01 8.489149002061630034e-02 2.217273099114073735e-09 9.731504052623927148e-01
2.576605538433367656e+03 6.843186528492334730e+01 2.235357646206163548e-02 1.173839537244539544e-01 8.468990863260814073e-02 2.215899121662647898e-09 9.731446544126417519e-01
2.576605538433367656e+03 6.843186528492334730e+01 2.235357646206163548e-02 1.173839537244539544e-01 8.468990863260814073e-02 2.215899121662647898e-09 9.731446544126417519e-01
2.576846040468839419e+03 6.842086236718583336e+01 2.235376492879911220e-02 1.173313876477352913e-01 8.491874842314453553e-02 2.218507530304199788e-09 9.731339789707119659e-01
2.577071048197658456e+03 6.844264276780853606e+01 2.234988594144695501e-02 1.173129034527132797e-01 8.503608067253158598e-02 2.219287465394992674e-09 9.731999380235462072e-01
2.577134153209156011e+03 6.844536793670444297e+01 2.234958143437397113e-02 1.173001801690823631e-01 8.466125655634178238e-02 2.217664941174499746e-09 9.732607765948819711e-01
2.576751743182396240e+03 6.843358744630194224e+01 2.235046692369914781e-02 1.173541519243975068e-01 8.488470731749397924e-02 2.217899878167566895e-09 9.733663302625783498e-01
2.576633485734020269e+03 6.844025027057787725e+01 2.235304416369363056e-02 1.173600762269485925e-01 8.489783250406468529e-02 2.215739961026009882e-09 9.734157861768062414e-01
2.577159155895610638e+03 6.843560053360981499e+01 2.234868862934869665e-02 1.173582338488758647e-01 8.497976264704776295e-02 2.214535063191174712e-09 9.734457074563184209e-01
2.578026076012009071e+03 6.843765039399436034e+01 2.234739894575537775e-02 1.173486389930613327e-01 8.523939950470646454e-02 2.214211844428553644e-09 9.735453660305327661e-01
2.577247919047736104e+03 6.842608409810064529e+01 2.234919295819506532e-02 1.173435577032234389e-01 8.499522774568044059e-02 2.213943392564722203e-09 9.735062779358122365e-01
2.577247919047736104e+03 6.842608409810064529e+01 2.234919295819506532e-02 1.173435577032234389e-01 8.499522774568044059e-02 2.213943392564722203e-09 9.735062779358122365e-01
2.577360077637223640e+03 6.842809953809332058e+01 2.234953866799706257e-02 1.173276781869408147e-01 8.483757547084128103e-02 2.212908749371573908e-09 9.735278373514799632e-01
2.577360077637223640e+03 6.842809953809332058e+01 2.234953866799706257e-02 1.173276781869408147e-01 8.483757547084128103e-02 2.212908749371573908e-09 9.735278373514799632e-01
2.576641979086729407e+03 6.842435993368023617e+01 2.235353986557210224e-02 1.172881253223635178e-01 8.452688614245797150e-02 2.212448741463026819e-09 9.734486783877844829e-01
2.576988689779881497e+03 6.843661726821579805e+01 2.235622321017066358e-02 1.173065862539630355e-01 8.462926255559202748e-02 2.212664327226238561e-09 9.733683127643304456e-01
2.576663376507440717e+03 6.843826309625940496e+01 2.235021238479136321e-02 1.173028070022670288e-01 8.445381241097071889e-02 2.212916346462304361e-09 9.733386807759423220e-01
2.577270961949577668e+03 6.845321741368167068e+01 2.234957878412213370e-02 1.173272583382740375e-01 8.441707968134749829e-02 2.212356100803076153e-09 9.731630104700954575e-01
